n-gram,count
департамент хороший называть департамент ничто,1
хороший называть департамент ничто сердитее,1
называть департамент ничто сердитее всякий,1
департамент ничто сердитее всякий род,1
ничто сердитее всякий род департамент,1
сердитее всякий род департамент полок,1
всякий род департамент полок канцелярия,1
род департамент полок канцелярия слово,1
департамент полок канцелярия слово всякий,1
полок канцелярия слово всякий род,1
канцелярия слово всякий род должностной,1
слово всякий род должностной сословий,1
всякий род должностной сословий всякий,1
род должностной сословий всякий частный,1
должностной сословий всякий частный человек,1
сословий всякий частный человек считать,1
всякий частный человек считать лицо,1
частный человек считать лицо оскорбить,1
человек считать лицо оскорбить весь,1
считать лицо оскорбить весь общество,1
