n-gram,count
"('как', 'бы', 'то', 'ни', 'было', 'но')",2
"('говорите', 'понимаете', 'ли', 'кто', 'стоит', 'перед')",2
"('нигде', 'не', 'останавливалось', 'столько', 'народа', 'как')",1
"('не', 'останавливалось', 'столько', 'народа', 'как', 'перед')",1
"('останавливалось', 'столько', 'народа', 'как', 'перед', 'картинною')",1
"('столько', 'народа', 'как', 'перед', 'картинною', 'лавочкою')",1
"('народа', 'как', 'перед', 'картинною', 'лавочкою', 'щукином')",1
"('как', 'перед', 'картинною', 'лавочкою', 'щукином', 'дворе')",1
"('перед', 'картинною', 'лавочкою', 'щукином', 'дворе', 'эта')",1
"('картинною', 'лавочкою', 'щукином', 'дворе', 'эта', 'лавочка')",1
"('лавочкою', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла')",1
"('щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно')",1
"('дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое')",1
"('эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное')",1
"('лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание')",1
"('представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок')",1
"('точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины')",1
"('самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею')",1
"('разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью')",1
"('собрание', 'диковинок', 'картины', 'большею', 'частью', 'писаны')",1
