n-gram,count
бедный акакий акакиевич,3
шинель акакий акакиевич,3
одно значительный лицо,3
слово всякий род,2
ничто это известный,2
лицо акакий акакиевич,2
акакий акакиевич глядеть,2
знать акакий акакиевич,2
акакий акакиевич слово,2
новый акакий акакиевич,2
сказать акакий акакиевич,2
акакий акакиевич петрович,2
акакий акакиевич ещё,2
акакий акакиевич новый,2
акакиевич новый шинель,2
хотя знать петрович,2
взять другую половина,2
рубль акакий акакиевич,2
акакий акакиевич это,2
акакий акакиевич идти,2
